name,year,stars,abstract
El mar amarillo,(2010),7.3,"Cuando el intento de matar a un profesor sale mal, se activa una serie de eventos violentos que obligan a un conductor de taxi para correr por su vida."
Hahaha,(2010),6.7,"Dos amigos, mientras toman bebidas juntos, comparte sus recuerdos de visitar el complejo costero de Tongyeong."
Bestseller,(2010),6.2,Una joven que desapareció hace 22 años nos dice su historia horrorizada.
Du yeoja,(2010),6,"Cuando la esposa de un profesor universitaria descubrió que su marido tenía un asunto con su estudiante y se reunía con su amante, se convierten en amigos y la relación entre dos mujeres se acercan."
Gôsuto,(2010),5.7,Un hombre trata de resolver el asesinato de su amante comunicándose con su espíritu a través de la ayuda de un medio.
Hamoni,(2010),7.5,Los reclusos de la prisión femenina forman un coro.
Simya-ui FM,(2010),6.5,"Sun-Young, un popular anfitrión de la radio, decide renunciar a su trabajo para cuidar a su mala hija.Pero, el último día de su trabajo convierte la pesadilla cuando un asesino lleva a su rehén familiar."
Gôruden suranbâ,(2010),6.9,Aoyagi conoce a un viejo amigo y termina enmarcado por el asesinato del primer ministro.
Gosa 2,(2010),5,MUERTE BELL 2: El campamento sangriento es sobre un grupo de estudiantes de secundaria y maestros que se encierran en la escuela después de que el instructor de natación es asesinado.
La película de Oki,(2010),6.8,"Una historia de amor entre un profesor de mediana edad, un joven estudiante que prepara una película y un estudiante / fabricante de cine que bebe demasiado."
In-peul-loo-eon-seu,(2010),6.4,"La película en línea del misterio ""la influencia"" gira en torno a las promesas que se mantuvieron aunque el tiempo ha pasado.Para mantener sus valores, los personajes están en una coyuntura crítica para actuar sobre sus promesas."
Dancing Ninja,(2010),4.1,"Un niño huérfano que sueña con ser un ninja llega a Hollywood para tratar de encontrar a sus padres de nacimiento, donde se mezcla en un crimen."
Hae-gyeol-sa,(2010),6.2,"Kang Tae-Sik, un ex policía que fue el mejor hombre de la Fuerza, ahora es un infame detective privado que maneja todo tipo de trabajo sucio de la captura de los filorderers a recolectar las deudas de las personas."
Pa-gwi-dwin sa-na-i,(2010),6.4,"La vida de un respetado ministro y un hombre de familia amoroso se desvanece después de que su hija está secuestrada.Cuando ella no es devuelta, renuncia a Dios y se convierte en un hombre de negocios corrupto."
Jje-jje-han ro-maen-seu,(2010),6.4,Un artista cómico y un columnista de sexo desempleado están tratando de trabajar juntos para ganar un lucrativo competencia de libro de cómics.
Ajeossi,(2010),7.8,Un guardián de casas de empeño tranquilo con un pasado violento adquiere un anillo de tráfico de drogas y órganos con la esperanza de salvar al niño que es su único amigo.
Yo vi al diablo,(2010),7.8,Un agente secreto exige vengarse de un asesino en serie a través de una serie de capturas y lanzamientos.
El destino de un guerrero,(2010),6.3,Un guerrero-Asessin se ve obligado a ocultar en una pequeña ciudad en los Badlands americanos después de rechazar una misión.
My Ex-Wife's Wedding,(2010),5.2,"Divorcé Ma Yong está enamorado de su nueva novia Zhao Hui.Sin embargo, tiene un estado de ánimo sobre su ex esposa, Xiaohong, quien pone obstáculos en el camino de él y su novia.Así que decide introducir a su mejor amigo a su ex esposa."
Bangdokpi,(2010),5.7,La historia de las cuatro personas de cuatro personas van a la ciudad en busca de una máscara de gas con un asesino en serie por diferentes motivos.
Hwa-i-teu: Jeo-woo-eui mel-lo-di,(2011),6,"El grupo de niñas ""muñecas rosadas"" siempre se empuja al fondo por otros ídolos populares.Cuando las chicas liberen su nueva canción ""White"", un remake de orígenes desconocidos, se convierten en sensaciones instantáneas."
Go-hyang-i: Jook-eum-eul bo-neun doo gae-eui noon,(2011),5.8,Una mujer joven es asesinada en un ascensor y el único testigo es su bidán.Su amiga So-Yeon lleva a la casa de los gatos y las cosas salvajes e inquietantes comienzan a suceder.
Kwik,(2011),5.8,Un famoso ciclista llamado GI-SU (Lee Min-Ki) tiene que entregar una bomba en su casco a menos de 30 minutos con su nueva novia AH-ROM (Kang Ye-Won) antes de que explote.
Poo-reun so-geum,(2011),6.3,Un joven asesino es enviado para matar a un jefe de la mafia retirado.Pero las cosas se complican cuando comienza a gustarle.
Beul-la-in-deu,(2011),6.8,"Su-A pierde su hermano de la vista y el niño en un accidente automovilístico.No más academia policial.3 años después, toma un taxi que golpea a una mujer.Su-A sale.Después de informarlo, un policía funciona con ella aprendiendo que sus otros 4 sentidos ""ven""."
Sseo-ni,(2011),7.8,"Siete chicas se convierten en buenos amigos en la escuela secundaria, luego los eventos los separan durante 25 años.Cuando uno de los amigos se encuentra muriendo en un hospital, desea ver a cada uno de ellos una última vez."
En silencio,(2011),8.1,"Sobre la base de los eventos reales, esta película muestra la historia de una escuela para el deterioro de la audición, donde los miembros de la facultad eran atadizados sexualmente en un largo período de tiempo."
Book chon bang hyang,(2011),7,"Un profesor en el departamento de cine en una universidad provincial va a Seúl para reunirse con su senior, que trabaja como crítico de cine, y se queda en un pueblo de Seúl por tres días."
O-jik geu-dae-man,(2011),7.8,Una historia de amor centrada en el ex boxeador Chul-Min y un telemarketer ciego Jung-Hwa.
7 gwanggu,(2011),4.7,"Una tripulación, perforando fuera de la costa para el aceite al sur de la isla de Jeju, encuentra una forma de vida alienígena letal."
Go-ji-jeon,(2011),7.4,Un drama se centró en la batalla final de la Guerra de Corea que determinará la frontera entre el norte y el sur.
Choi-jong-byeong-gi hwal,(2011),7.2,Un experto arquero coreano aumenta la fuerza poderosa de Manchus con el único propósito de rescatar a su hermana secuestrada.
Mai wei,(2011),7.7,"En la Segunda Guerra Mundial, Corea, corredores rivales, un coreano (Jang Dong-gun) y un japonés (Joe Odagiri), vaya a la guerra juntos contra los soviéticos."
Eui-roi-in,(2011),6.8,El abogado de élite Kang Seong-hee sube contra un fiscal principal sobre un caso que involucra a un hombre acusado de matar a su esposa.
Joseon myungtamjung: Gakshituku ggotui biil,(2011),6.3,"El Detective Genius Detective K está alistado por el rey para investigar una cadena de asesinatos que pueden estar vinculados a una conspiración del gobierno.Pero cuando K se convierte en un sospechoso, tendrá que atrapar a los asesinos para demostrar su propia inocencia."
Eillieon bikini,(2011),4.5,"Un héroe de la ciudad salva a una niña, pero es una alienígena que necesita esperma para reproducirse.Ella seduce al héroe de la ciudad que ha tomado un voto de castidad."
Mai Beulraek Minideureseu,(2011),5.4,"Después de graduarse de la universidad, un grupo de cinco amigos cercanos tiene que definir sus propias vidas de manera que desafíen su amistad."
El rey de los cerdos,(2011),6.7,"Jong-Suk y Kyung-Min se encuentran para hablar sobre el pasado de su escuela secundaria, han pasado 15 años desde que habló por última vez.Trae todo tipo de recuerdos."
Pyeong-yang-seong,(2011),5.4,"Esta historia se desarrolla 8 años después de 'Batalla de HwangsanBeol', que destruyó Baekjae, cuando Silla-Tang Dynasty Union ataca a Goguryeo."
"Saranghanda, saranghaji anneunda",(2011),6.3,"En un día lluvioso, una mujer y su marido están en casa.La mujer está empacando para dejar al hombre.Ella no puede ir debido al clima.Permanecen juntos en una tensión tranquila como una tormenta afuera afuera."
O-neul,(2011),6.2,Una productora pierde a su novia en un accidente de éxito y funciona y se encuentra en la línea de conflicto.
Bul-eun ba-kang-seu geom-eun we-ding,(2011),4.3,"Dos cortometrajes sobre la infidelidad: una comedia oscura de una amante atractiva en la trampa de una esposa, el segundo un estudiante incapaz de dejar el abrazo de su profesor incluso después de su boda."
Gisaengryung,(2011),5,"Después de que sus padres son asesinados, Bin recibe la atención de los familiares.Comienza a actuar de manera extraña, los nuevos ocupantes de su casa experimentan pesadillas horribles, y se revela un misterio como un terrible secreto."
Champ,(2011),6.5,Una película familiar conmovedora sobre un jinete que viene a ciegas y un caballo que se dirige cuando luchan por vencer las probabilidades en el mundo de las carreras.
Mi-hwak-in-dong-yeong-sang,(2012),4.8,Será mejor que no hagas clic si quieres sobrevivir.
Confesiones de un asesino,(2012),7.1,Lee Du-Seok publica una autobiografía que describe asesinatos que cometió después de que expire el estatuto de limitaciones.Un detective y una de las madres de la víctima buscan al autor mientras otro asesino comienza una juerga de asesinatos.
Hoa-cha,(2012),6.7,"Un hombre busca a su prometida que desapareció sin rastro justo antes de su ceremonia de boda, solo para descubrir la impactante identidad de ella."
Na-neun wang-i-ro-so-i-da,(2012),5.8,¿Qué pasará cuando el esclavo se convierta accidentalmente en un rey y el rey se convierta accidentalmente en un esclavo?
Baramgwa hamjje sarajida,(2012),6.3,"A fines del siglo XVIII, el hielo es un producto más valioso que el oro.Cuando los funcionarios corruptos constan para formar un monopolio y fijar su precio, se forma una pandilla de 11 profesionales para robar todos los bloques de hielo real en cinco almacenes por una noche."
La concubina del emperador,(2012),6.1,"Una historia trágica del triángulo de amor entre Hwa-Yeon, una hija de un noble, su verdadero amor Kwon-Yoo, un sirviente y el hombre que será rey, Prince Sungwon."
En otro país,(2012),6.4,Una historia de tres niveles se centró en un trío de turistas franceses que visitan el mismo complejo costero.
Jeom-bak-i: Han-ban-do-eui Gong-ryong 3D,(2012),5.4,Un lonely Tarbosaurus nombrado Speckles crece en un mundo rodeado de peligros y debe luchar contra el monstruo de un solo ojo que una vez lo huérfano.
El sabor del dinero,(2012),5.7,"El asistente de una socialita rica revela el asunto salacable de su marido.La caída lo enredó en una red de sexo, amor y engaño que podría amenazar su vida y su carrera."
I-ut saram,(2012),6.6,"Los residentes de una mansión viven en el miedo cuando una joven es asesinada.Sospechan a su prójimo por el crimen, y una batalla estalla para proteger a la próxima víctima."
Todo sobre mi esposa,(2012),6.6,"Du-Hyeon ya no puede soportar a su esposa.Él quiere un divorcio, pero él es débil.Hira un Casanova para seducirla y hacerla dejarlo.¿Tendrá éxito?"
El gran golpe,(2012),6.8,"Después de un heeñado en Corea del Sur, una pandilla de 5 + 1 vuela a Hong Kong para mirar a un heredero, en un casino de Macao, de un diamante de $ 30 millones, planeado por alguien no confiable.Él también trae a los ladrones de HK.¿Alguien puede ser de confianza?"
The Outback,(2012),4.7,Un lindo koala (Rob Schneider) debe rescatar a un compañero de animales de un crocodílico temido (Alan Cumming).
Neuk-dae-so-nyeon,(2012),7.3,"Convocado por una llamada telefónica inesperada, una anciana visita la casa de campo en la que vivía cuando era niño.Los recuerdos de un niño huérfano sabía que hace 47 años se volvió a inundar a ella."
Bumchoiwaui junjaeng: Nabbeunnomdeul jeonsungshidae,(2012),7.1,"A un borde de ser despedido, un funcionario de aduanas corruptos encuentra un recorrido de drogas y equipos con un gángster vicioso para convertirse en la asociación más poderosa de delitos en Busan."
Wi-heom-han gyan-gye,(2012),5.9,"En Shanghai, el envejecimiento de la infatuación socialita con su ex novio se manifiesta como un juego arriesgado, donde su antiguo amante acepta seducir, luego abandonó a una joven ingenua."
Ta-weo,(2012),6.6,Una fiesta de la víspera de Navidad en un edificio residencial de lujo requiere un giro horrible cuando se rompe un incendio.
Masquerade,(2012),7.8,Un plebeor de aspecto similar es contratado en secreto para tomar el lugar de un rey envenenado para salvar a su país caer en caos.
Cha hyung-sa,(2012),5.9,"Detective Cha, una COP sucia y maloliente debe convertirse en un modelo para investigar el caso de tráfico de drogas en torno a los negocios en la pista.¿Se puede cambiar para resolver el caso?"
Couleur de peau: Miel,(2012),7.2,El artista de cómics Jung regresa a Seúl por primera vez desde que fue abandonado a la edad de 5 años.
Leo-beu-pik-syeon,(2012),6.1,"Una comedia se centró en el romance entre un nuevo novelista y su nueva novia, que también se convierte en su musa."
Misseu Go,(2012),5.3,"Una mujer con un trastorno de ansiedad severa se tropieza en un acuerdo de drogas de 44 millones de dólares, salió mal.De repente, la mafia, así como la policía, quiere conseguirla."
Daensing kwin,(2012),6.4,Un marido se encuentra accidentalmente corriendo para alcalde de Seúl y su esposa decide convertirse en un cantante K-Pop
Du Bunui Gyulhonsikgwa Han Bunui Jangryesik,(2012),6.4,"Para mantener su orientación sexual en secreto, un hombre gay y una mujer lesbiana se casan.Ahora tienen que hacer malabares con sus identidades para engañar a los padres y compañeros de trabajo, mientras tratan de encontrar el verdadero amor."
Wang chao de nu ren: Yang Gui Fei,(2015),4.2,La trágica historia de un consorte imperial de la dinastía Tang que fue la favorita del Emperador Xuanzong.
Papa,(I) (2012),6.3,"Un gerente de talento coreano se mueve a América y entra en un matrimonio de visa y, posteriormente, termina con seis niños multiculturales.Sin embargo, pronto descubre que su hija mayor es un cantante talentoso y comienza a moldearla en una estrella."
Beom-joe-so-nyeon,(2012),6.6,Un delincuente juvenil Ji-Gu se reúne con su madre joven que pensó que estaba muerto.
Piedad,(2012),7.2,Un tiburón de préstamo se ve obligado a reconsiderar su estilo de vida violento después de la llegada de una mujer misteriosa que afirma ser su madre perdida.
Hoi-sa-won,(2012),6.7,"Cuando un cambio de corazón mueve a un Hitman bien entrenado para licitar su renuncia a sus empleadores, no es bueno que nadie sea para nadie."
Milagro en la celda 7,(2013),8.2,Una historia sobre el amor entre un padre mentalmente enfermo y su hija adorable amorosamente.
Make Your Move,(2013),5.6,Un par de bailarines cruzados por estrellas en Nueva York se encuentran en el centro de una amarga rivalidad entre los clubes de baile subterráneos de sus hermanos.
Jungle Shuffle,(2014),5,"1960 Lacedon Jungle en México.Coatis Manu y Sacha son los mejores amigos.Sin embargo, el manu travieso es exiliado del imperio por romper una estatua ordenada por el rey, entonces la novia Sacha es capturada por los cazadores."
Locos por las nueces,(I) (2014),5.7,"Una ardilla exiliada de incorregiblemente egoísta se encuentra ayudando a su antiguo parque a los hermanos sobrevivir al asaltar a una tinta, una ubicación que también es un frente para un robo a un banco de pandillas humanas."
The Berline File,(2013),6.6,"Jong-Seong, un agente de Ghost de Corea del Norte, interrumpe una venta ilegal de armas en Berlín.Un notorio agente de Corea del Norte prueba las lealtades de todos los involucrados como Jong-Seong se prepara para hacer el máximo sacrificio."
Snowpiercer,(2013),7.1,"En un futuro, donde un experimento de cambio climático fallido ha matado a toda la vida, excepto a los sobrevivientes que abordaron el snowpiercer (un tren que viaja por todo el mundo), surge un nuevo sistema de clases."
Sinsegye,(2013),7.6,Un policía encubierto le resulta difícil jugar tanto a un policía como a un Goon.
Nugu-ui ttal-do anin Hae-won,(2013),6.8,"La relación secreta entre un estudiante y un maestro, ¿último será su amor?"
Ma-i li-teul hi-eo-ro,(2013),7,"Un director de teatro musical fallido trata de explotar el increíble talento de un joven para su propio avance profesional.Pero, su sentimiento para que él cambie en el camino."
Under the Knife,(2018),6.2,"Beverly viaja a Corea del Sur para obtener una cirugía plástica, pero termina sin saberlo obtener un implante computarizado de un cirujano que convierte maniáticamente a sus pacientes en hermosas máquinas de asesinato."
Jiseul,(2012),6.8,"En la década de 1950, una población de una isla surcoreana se rebela contra la brutalidad policial.Los manifestantes están etiquetados como comunistas y se envía el ejército.Un pequeño pueblo será golpeado especialmente duro ese día.Basado en eventos históricos."
Jeonseolui joomeok,(2013),6.8,"Tres viejos amigos y rivales consiguen que se enfrenten a un programa de televisión facturado como ""The Great Fight Show en la Tierra""."
Gamgi,(2013),6.6,El caos se produce cuando un virus letal y en el aire infecta a la población de una ciudad de Corea del Sur a menos de 20 kilómetros de Seúl.
Bunnoui Yunrihak,(2013),5.5,"Un chico malo, un chico cruel, un chico cojo, un chico cobarde y la mujer más mala se involucra en el caso de asesinato de un estudiante universitario hermoso."
Moebiuseu,(2013),6.4,"Un padre impulsado al deseo, un hijo codiciando el de la de su padre, y la tristeza de la maternidad que los flota en la tragedia."
U ri Sunhi,(2013),6.8,"Una mujer joven que regresa a su vieja escuela para visitar a su profesor también se dirige a su viejo novio y su senior, cada uno de los cuales tiene un pasado con ella."
Deo web-toon: Ye-go sal-in,(2013),6.3,"Horror popular web-comic artista Ji Yoon encuentra la vida imitando su propio trabajo cuando su editor se convierte en muerto de una manera, refleja precisamente las imágenes en su último cómic."
Vigilancia extrema,(2013),7.1,Un equipo de vigilancia policial de alta tecnología intenta derribar una pandilla de ladrones de banco despiadado.
Go-ryeong-hwa-ga-jok,(2013),6.5,"3 Viejo hermano problemático debe vivir junto con su madre mayor.Ya no son niños, ¿qué pasará?"
Hwayi: El niño monstruo,(2013),7.1,"Un niño con cinco padres que se adjuntan al inframundo criminal.Un pasado siniestro está a punto de ser revelado, ya que se ve obligado a unirse a la ola de asesinato."
Jeong-ug-no-lae-jalang,(2013),6.4,"El popular programa de televisión ""Concurso Nacional de Canto"" se establece en Film en la ciudad de Gimhae.Los concursantes en Gimhae esperan aparecer en el show por varias razones."
Mi-na moon-bang-goo,(2013),6.4,"Mi-Na se suspendió de su trabajo, su padre es hospitalizado, necesita dinero para ayudarlo para que decida vender la tienda de su padre.Pero, ella necesita popularizar esa vieja tienda para atraer al comprador.¿Puede ella hacer eso?"
Mi-seu-teo Go,(2013),6,Historia sobre el primer gorila jugando al béisbol en la liga de béisbol coreana.
Mong-ta-joo,(2013),7.5,"Hace 15 años, una madre perdió a su hijo en un caso de secuestro.Un crimen similar ocurre de nuevo y ella no lo dejará ir esta vez."
Nam-jjok-eu-ro twi-eu,(2013),6.6,"Acerca de Choi, un izquierdista que se asoció con su familia para proteger la isla de su antepasado del gobierno corrupto que planea construir un resort en su isla."
Deu tae-ro ra-i-beu,(2013),7.1,Un periodista descubre que ha sido amañado con una bomba después de que tiene una entrevista exclusiva con un terrorista que explotó un puente.
El lector de rostros,(2013),6.8,"Acerca de Nae-Kyung, quien es capaz de evaluar la personalidad, el estado mental y los hábitos de una persona mirando su rostro.Debido a sus habilidades, se involucra en una lucha de poder entre el Príncipe Sooyang y Kim Jong-SEO."
Seu-pa-i,(2013),6.3,"Sobre un agente que está encubierto en un país extranjero, mientras que su esposa no tiene idea de lo que hace para ganarse la vida."
Saibi,(2013),6.9,"Un convicto regresa a su ciudad natal para volver a torturar a su familia, enfrentar a sus vecinos y tratar de destruir a los fanáticos religiosos locales y sus planes para mantener el dinero de la gente del pueblo."
